taxname=;
mxram 4096;
taxname +27;
nstates num 32;
xread
'File downloaded from graemetlloyd.com'
373 115
& [numeric]
Lemur_catta                  1010414241120001103422050400222202212204-202100220020000A66C21022420-624000-401024-600140-14020210020003003000020140002112101-000200000000000402231003-20-00000020004230041240020000001663104202012410131124212101162030[13]440300432212102001010112321210221001022501014402000341000100031000[024]22204000010022001240010002000320101000011010312203000011000040004220401010100000000000000
Lepilemur_mustelinus         1010414241120001113422060420222214814004-304411413203010A0680-0022222424220-2012222430040-23000210020------------241?021121121200220010100000102201003-00-002000003040410142300201010012442041003014002400040111011420104330200402010123?010?0012221210221001?2240202430210023100130001100052220400002012200012001000200?31010100001101032[12]001?001020112100[13]53202??0?00?000????????00
Leptadapis_magnus            10002?00001402?10203000244222200058140020200244404000010886C0-002424-624300-2022240400000-222002100401?0??401??401401400121000400200120221000232402020000-012000203040000420422402?22?1???204200322220340024??????1[35]302014404004[13]121210200???01122212102210010???010???0???????????????????????????00400200134??0100020??32000?000?11011403104???0?1001????13332??00201????????????0?
Loris_tardigradus            1010414241110001103422060410222204714214-30013012121100080440-022321-624120-202123-600030-1200021001001000020000214200211212224102020001001003120020200131000200102020001[13]30212100200010050220142004202012405102111522304441000422212013100010114320201111001?2080102440220111100040032031164101612004022100320-21000101140011020200?1110220041011020222121143222012120100000??????00
Loveina_zephryi              10004??3????0???????22???2?12202028120002202200222243110444142002220342432432020223500202212???210020?????????????????????????????0?0200?1000412?020240-0-010200204000412000220400???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Macrotarsius_montanus        1?006??2????2???????22??????0202???142201402240222040120302643201420222422442020222200204124000210022?????????????????2??????????????????????????????????????????????????????????0???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Mahgarita_stevensi           1?0????2????02?000032200?400220206810--4-202220220000022A4660-0?22????24220-202324??00020-32000210020?????????????401241231002200220022201000412202020000-40021020404000040040020202201????????????????????????????????????????????????????????????????????????????????????????????????????????????004?02?0?2441?1?0020??520001100?110114?0?0???00?002?????03110?10????????????????0?
Marcgodinotius_indicus       1?0????2???????00???00???400220226611004?200020220000022A56221002000242222122?02222400040?22001210000?????????????????????????????02????0????????0?222000-0002000040?????000220?00??0??????????????????????????????240003340400440012111?0???????????????????????????????00??0002200?24??????????????????????????????????????????????????????????????????????????????????????????????
Microadapis_sciureus         1?0????2?????2?00?0300022400220204214004-200020222000020A6640-002246-624200-402324-600240-24000210000????????????????????????????????????????????0?020000-000200?04??????202?????0??0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Microcebus_murinus           101041424112000110342205040020-204810--4-200-0202031402024200-022202-624320-200023-600000-12100210020004402200?021410021221100000210020000000202201002-01010000000202020042130020000001663314300201400230024312101112000422020030221?102002010112321210221001022602122302000330102100201000?21004000030022004240010002011410000?0000101002200??011010020411051102010201?0??????????00
Microchoerus_erinaceus       11028?4221?440?2001024---40020-224814204-202210022444120200643002420-624400-202022-600220-3200?21003402400042-10212002613----0210202120000200432202?20200-022600204040000002220200422?1???204400002020220024????????????????????04?????4??????????????????????????????????????012?40?00????????????????????????????????????????????1?????????2???????????????11??????????????????????
Moeripithecus_markgrafi      ??????????????????????????????????????????????????????????0C0-0204000200020-210?0200104??????????0020????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Myanmarpithecus_yarshensis   ??0????????????10???22020?0222200?????????????????022??????????????????2020-200204-600200-32000210022???4020200???????????????????22001001000412002?22000-002000002040200202400200??4?????0??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Nannopithex_abderhaldeni     11028142411440?2000024---40020-200012004-200000220444200642241002222-6243222200023-600200-22200210020???40??????2?4000613----02002200000000004122000240-0-010212204020400000220200020?1????????????????????????????2200042202112?4112???0?????????????????????????1?????021????12????4-??????10?????????0??04????????????????????????????????????????????????1???????????????????????
Nannopithex_raabi            11028042411440?2000024---40020-200002004-200220220444200642240002226-6244222202022-600222132120210021??440?42??0214004613----02002020100000004122000240-0-02021120402040000022020????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Necrolemur_spp               11028?4241?440?0001024---40020-224814204-202220222444120202443002426-624400-202022-600220-322202100240240??42???21?0??613----0400202120000200422201120100-03240020404000210220020042001???????????????????????????122000430041120401???610???011332?210?01001??????302210?004201200124-?0??????????102?20?0042410111202??100011100?120010?1202??1102021????1311??000001????????????0?
Nycticeboides_simpsoni       ????????????????????22060400222204610--4-202020222220002A0240-022222-624020-202022-600000-12000210020?????????????420021221?22200202000000000412002020022220000000402000004022020???4?????????????????????????????????????????????????????????????????????????????????????????????????????1??????????????????????????????????????2?????????????????????????????????????????????????0?
Nycticebus_coucang           1010414241120001103422060400222204410--4-2000200?0220002804A0-022222-624020-202222-600250-200202100200041022000111420021221442200202000000100212000020020-2000002040200021422000002000100602411410142020234261021114423044410004422120111010101143202011110010206000244022010110004004-031164001602004212210040-2100000114001?020200?11102410510110201220112332221120101000000000000?
Oligopithecus_rogeri         ??0??????????420?003??????0022?206814222240224?222?20000A?4C200004000223021?2000200210160-120202100?0?????????????2?1????????240020000020?000412?0?203-010000000000020300420200??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Oligopithecus_savagei        ??0????????????1000324---200222206814222240002?222220000220A210004000222020-20001004100??????????0020????0???????????????????0420???0002??2004???0?202-00-?000000?00?????440????????4????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Omomys_sp                    11027032210420?0000222000400220246812004-202240220002020744443002200352422222000223500122112200210020?2?????0???210???21221002200200010000000012412222000-000211203022200400420100??0??????????????????????????????310013230211?0311??040?20???????????????????????1022?0?0004??0?4?00110????10?0?????????????????01?22??000001100?1??01???2?????2?202????????1??0000??????????????0?
