,FAD,LAD
Lepilemur_seali,0,0
Lepilemur_septentrionalis,0,0
Lepilemur_tymerlachsoni,0,0
Lepilemur_wrighti,0,0
Leptadapis_magnus,41.3,38
LeptadapisParadapis_priscus,41.3,38
Limnopithecus_evansi,20.44,15.97
Limnopithecus_legetet,20.44,15.97
Limnopithecus_macinnesi,20,17
Lomorupithecus_harrisoni,20.44,15.97
Lophocebus_albigena,0,0
Lophocebus_aterrimus,0,0
Lophocebus_sp_KNM_dash_ER_594_et_595_et_827_et_898_et_965_et_1661_et_3090_et_6014_et_6063_et_18922_et_40476_et_44260_et_44262_et_44317,2,1.38
Loris_lydekkerianus,0,0
Loris_tardigradus,0,0
Loveina_minuta,55.8,50.3
Loveina_sheai,55.8,50.3
Loveina_wapitiensis,55.8,50.3
Loveina_zephyri,55.8,50.3
Lufengpithecus_lufengensis,11.62,7.246
Lushius_qinlinensis,48.6,37.2
Macaca_arctoides,0,0
Macaca_assamensis,0,0
Macaca_cyclopis,0,0
Macaca_fascicularis,0,0
Macaca_fuscata,0,0
Macaca_hecki,0,0
Macaca_leonina,0,0
Macaca_leucogenys,0,0
Macaca_maura,0,0
Macaca_mulatta,0,0
Macaca_munzala,0,0
Macaca_nemestrina,0,0
Macaca_nigra,0,0
Macaca_nigrescens,0,0
Macaca_ochreata,0,0
Macaca_pagensis,0,0
Macaca_radiata,0,0
Macaca_siberu,0,0
Macaca_silenus,0,0
Macaca_sinica,0,0
Macaca_sylvanus,0,0
Macaca_thibetana,0,0
Macaca_tonkeana,0,0
Macrotarsius_jepseni,46.2,40.4
Macrotarsius_montanus,40.4,37.2
Macrotarsius_siegerti,46.2,40.4
Mahgarita_stevensi,46.2,40.4
Mandrillus_leucophaeus,0,0
Mandrillus_sphinx,0,0
Marcgodinotius_indicus,56,47.8
Masradapis_tahai,38,33.9
Mazateronodon_endemicus,41.3,38
Mazzonicebus_almendrae,21,17.5
Megadelphus_lundeliusi,55.8,50.3
Megaladapis_edwardsi,0.001,0.001
Megaladapis_grandidieri,0.001,0.001
Megaladapis_madagascariensis,0.00276,0.00276
Melaneremia_bryanti,56,47.8
Melaneremia_schrevei,56,47.8
Mescalerolemur_horneri,46.2,40.4
Mesopithecus_pentelicus,7.246,5.333
Mesopropithecus_dolichobrachion,0.0014,0.0014
Mesopropithecus_pithecoides,0.0014,0.0014
Mico_argentatus,0,0
Mico_emiliae,0,0
